2026-04-21 15:25:49,250 | INFO | sentence_transformers.base.model | No device provided, using cpu
2026-04-21 15:25:51,150 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/BAAI/bge-large-zh/resolve/main/modules.json "HTTP/1.1 307 Temporary Redirect"
2026-04-21 15:25:51,151 | WARNING | huggingface_hub.utils._http | Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
2026-04-21 15:25:51,400 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/BAAI/bge-large-zh/b5d9f5c027e87b6f0b6fa4b614f8f9cdc45ce0e8/modules.json "HTTP/1.1 200 OK"
2026-04-21 15:25:51,681 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/BAAI/bge-large-zh/resolve/main/config_sentence_transformers.json "HTTP/1.1 307 Temporary Redirect"
2026-04-21 15:25:51,932 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/BAAI/bge-large-zh/b5d9f5c027e87b6f0b6fa4b614f8f9cdc45ce0e8/config_sentence_transformers.json "HTTP/1.1 200 OK"
2026-04-21 15:25:51,936 | INFO | sentence_transformers.base.model | Loading SentenceTransformer model from BAAI/bge-large-zh.
2026-04-21 15:25:52,212 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/BAAI/bge-large-zh/resolve/main/config_sentence_transformers.json "HTTP/1.1 307 Temporary Redirect"
2026-04-21 15:25:52,460 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/BAAI/bge-large-zh/b5d9f5c027e87b6f0b6fa4b614f8f9cdc45ce0e8/config_sentence_transformers.json "HTTP/1.1 200 OK"
2026-04-21 15:25:52,889 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/BAAI/bge-large-zh/resolve/main/README.md "HTTP/1.1 307 Temporary Redirect"
2026-04-21 15:25:53,139 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/BAAI/bge-large-zh/b5d9f5c027e87b6f0b6fa4b614f8f9cdc45ce0e8/README.md "HTTP/1.1 200 OK"
2026-04-21 15:25:53,421 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/BAAI/bge-large-zh/resolve/main/modules.json "HTTP/1.1 307 Temporary Redirect"
2026-04-21 15:25:53,677 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/BAAI/bge-large-zh/b5d9f5c027e87b6f0b6fa4b614f8f9cdc45ce0e8/modules.json "HTTP/1.1 200 OK"
2026-04-21 15:25:53,956 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/BAAI/bge-large-zh/resolve/main/sentence_bert_config.json "HTTP/1.1 307 Temporary Redirect"
2026-04-21 15:25:54,205 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/BAAI/bge-large-zh/b5d9f5c027e87b6f0b6fa4b614f8f9cdc45ce0e8/sentence_bert_config.json "HTTP/1.1 200 OK"
2026-04-21 15:25:54,503 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/BAAI/bge-large-zh/resolve/main/adapter_config.json "HTTP/1.1 404 Not Found"
2026-04-21 15:25:54,786 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/BAAI/bge-large-zh/resolve/main/config.json "HTTP/1.1 307 Temporary Redirect"
2026-04-21 15:25:55,032 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/BAAI/bge-large-zh/b5d9f5c027e87b6f0b6fa4b614f8f9cdc45ce0e8/config.json "HTTP/1.1 200 OK"
2026-04-21 15:25:55,386 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/BAAI/bge-large-zh/resolve/main/model.safetensors "HTTP/1.1 302 Found"
2026-04-21 15:26:38,855 | INFO | httpx | HTTP Request: GET https://huggingface.co/api/models/BAAI/bge-large-zh/xet-read-token/b5d9f5c027e87b6f0b6fa4b614f8f9cdc45ce0e8 "HTTP/1.1 200 OK"
2026-04-21 15:27:27,652 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/BAAI/bge-large-zh/resolve/main/processor_config.json "HTTP/1.1 404 Not Found"
2026-04-21 15:27:27,934 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/BAAI/bge-large-zh/resolve/main/preprocessor_config.json "HTTP/1.1 404 Not Found"
2026-04-21 15:27:28,215 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/BAAI/bge-large-zh/resolve/main/video_preprocessor_config.json "HTTP/1.1 404 Not Found"
2026-04-21 15:27:28,522 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/BAAI/bge-large-zh/resolve/main/preprocessor_config.json "HTTP/1.1 404 Not Found"
2026-04-21 15:27:28,807 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/BAAI/bge-large-zh/resolve/main/tokenizer_config.json "HTTP/1.1 307 Temporary Redirect"
2026-04-21 15:27:29,059 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/BAAI/bge-large-zh/b5d9f5c027e87b6f0b6fa4b614f8f9cdc45ce0e8/tokenizer_config.json "HTTP/1.1 200 OK"
2026-04-21 15:27:29,351 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/BAAI/bge-large-zh/resolve/main/config.json "HTTP/1.1 307 Temporary Redirect"
2026-04-21 15:27:29,606 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/BAAI/bge-large-zh/b5d9f5c027e87b6f0b6fa4b614f8f9cdc45ce0e8/config.json "HTTP/1.1 200 OK"
2026-04-21 15:27:29,897 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/BAAI/bge-large-zh/resolve/main/config.json "HTTP/1.1 307 Temporary Redirect"
2026-04-21 15:27:30,147 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/BAAI/bge-large-zh/b5d9f5c027e87b6f0b6fa4b614f8f9cdc45ce0e8/config.json "HTTP/1.1 200 OK"
2026-04-21 15:27:30,430 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/BAAI/bge-large-zh/resolve/main/tokenizer_config.json "HTTP/1.1 307 Temporary Redirect"
2026-04-21 15:27:30,679 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/BAAI/bge-large-zh/b5d9f5c027e87b6f0b6fa4b614f8f9cdc45ce0e8/tokenizer_config.json "HTTP/1.1 200 OK"
2026-04-21 15:27:30,971 | INFO | httpx | HTTP Request: GET https://huggingface.co/api/models/BAAI/bge-large-zh/tree/main/additional_chat_templates?recursive=false&expand=false "HTTP/1.1 404 Not Found"
2026-04-21 15:27:31,255 | INFO | httpx | HTTP Request: GET https://huggingface.co/api/models/BAAI/bge-large-zh/tree/main?recursive=true&expand=false "HTTP/1.1 200 OK"
2026-04-21 15:27:31,576 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/BAAI/bge-large-zh/resolve/main/1_Pooling/config.json "HTTP/1.1 307 Temporary Redirect"
2026-04-21 15:27:31,830 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/BAAI/bge-large-zh/b5d9f5c027e87b6f0b6fa4b614f8f9cdc45ce0e8/1_Pooling%2Fconfig.json "HTTP/1.1 200 OK"
2026-04-21 15:27:32,115 | INFO | httpx | HTTP Request: GET https://huggingface.co/api/models/BAAI/bge-large-zh "HTTP/1.1 200 OK"
2026-04-21 15:42:04,235 | INFO | sentence_transformers.base.model | No device provided, using cpu
